epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21414,1.22662,2.80271,1.38385,0.60911,0.47855,0.46766,0.25708,1.52896,2.87876,1.66914,0.000658824,0.000658824,0.000658824
2,19.8957,1.30536,2.27772,1.43648,0.49272,0.49505,0.4967,0.27866,1.65705,3.2022,1.93968,0.00131237,0.00131237,0.00131237
3,27.6997,1.28259,1.95334,1.40839,0.54087,0.50165,0.51274,0.31216,1.51193,4.30497,1.79155,0.00195271,0.00195271,0.00195271
4,35.5811,1.33191,1.87141,1.43339,0.51595,0.49175,0.47018,0.28619,1.45801,2.86811,1.60233,0.0019406,0.0019406,0.0019406
5,43.5371,1.30495,1.6783,1.39961,0.65165,0.59076,0.61814,0.38734,1.34981,1.65372,1.52292,0.0019208,0.0019208,0.0019208
6,54.1133,1.2855,1.57633,1.39643,0.61463,0.52805,0.60675,0.37942,1.38037,1.68546,1.52648,0.001901,0.001901,0.001901
7,61.9421,1.23314,1.46429,1.36575,0.66953,0.53465,0.61417,0.38053,1.42806,1.61331,1.56821,0.0018812,0.0018812,0.0018812
8,69.5348,1.21851,1.37782,1.35757,0.73864,0.55116,0.66563,0.41858,1.32511,1.51556,1.43387,0.0018614,0.0018614,0.0018614
9,77.736,1.19242,1.30705,1.33319,0.69351,0.67959,0.73636,0.4829,1.21976,1.32564,1.40142,0.0018416,0.0018416,0.0018416
10,90.2373,1.15092,1.22097,1.26592,0.75249,0.68977,0.74524,0.4929,1.27982,1.31408,1.42163,0.0018218,0.0018218,0.0018218
11,97.9215,1.13021,1.23544,1.27718,0.77377,0.68647,0.77722,0.52686,1.21456,1.26093,1.39529,0.001802,0.001802,0.001802
12,105.557,1.11161,1.19468,1.28003,0.75701,0.67861,0.75534,0.50666,1.21138,1.29244,1.40622,0.0017822,0.0017822,0.0017822
13,113.87,1.094,1.20259,1.27321,0.83744,0.69967,0.80159,0.52305,1.22879,1.17089,1.397,0.0017624,0.0017624,0.0017624
14,124.326,1.08378,1.1375,1.25512,0.79574,0.72937,0.80207,0.53324,1.1588,1.18123,1.3132,0.0017426,0.0017426,0.0017426
15,132,1.08603,1.12245,1.26257,0.84342,0.72889,0.82129,0.55387,1.20131,1.12065,1.35263,0.0017228,0.0017228,0.0017228
16,139.612,1.1008,1.11756,1.27543,0.90384,0.68977,0.82701,0.57451,1.1562,1.03715,1.32159,0.001703,0.001703,0.001703
17,147.667,1.05536,1.05739,1.24215,0.73374,0.66337,0.73304,0.49008,1.2333,1.34895,1.39832,0.0016832,0.0016832,0.0016832
18,158.64,1.05081,1.03529,1.21447,0.88079,0.70716,0.83737,0.59691,1.0861,1.02717,1.26352,0.0016634,0.0016634,0.0016634
19,166.211,1.03462,0.98708,1.21879,0.85884,0.72288,0.82427,0.5509,1.24193,1.05402,1.4,0.0016436,0.0016436,0.0016436
20,173.913,1.02511,0.99718,1.22617,0.84862,0.66997,0.81573,0.56207,1.16527,1.04303,1.30116,0.0016238,0.0016238,0.0016238
21,181.506,0.99588,0.97851,1.20045,0.89481,0.78613,0.87589,0.6085,1.13495,0.93537,1.32627,0.001604,0.001604,0.001604
22,192.665,1.01271,0.95795,1.20653,0.90708,0.74104,0.85678,0.59698,1.13093,0.98002,1.32923,0.0015842,0.0015842,0.0015842
23,200.273,0.99157,0.94177,1.1986,0.91593,0.76238,0.88802,0.63109,1.07624,0.87261,1.27011,0.0015644,0.0015644,0.0015644
24,207.895,0.99717,0.90789,1.18137,0.86054,0.77385,0.8697,0.60755,1.10305,0.93972,1.2812,0.0015446,0.0015446,0.0015446
25,215.54,1.00279,0.93856,1.19707,0.85463,0.79553,0.8705,0.6369,1.04722,0.90925,1.25608,0.0015248,0.0015248,0.0015248
26,226.46,0.99383,0.93044,1.19531,0.89685,0.79868,0.8888,0.6463,1.04471,0.87272,1.25305,0.001505,0.001505,0.001505
27,234.245,0.97049,0.87302,1.18645,0.83906,0.79149,0.8753,0.63727,1.07276,0.86135,1.28779,0.0014852,0.0014852,0.0014852
28,242.137,0.94761,0.84812,1.16745,0.87405,0.77558,0.89499,0.63304,1.04976,0.85472,1.24108,0.0014654,0.0014654,0.0014654
29,252.086,0.9244,0.82527,1.15782,0.90738,0.80836,0.8936,0.64278,1.10793,0.87455,1.29306,0.0014456,0.0014456,0.0014456
