epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8269,1.19774,2.25808,2.58746,1.29787,0.73146,0.3126,0.43708,0.24752,0.71228,0.3044,0.41045,0.22414,1.28326,3.29565,2.94699,1.5975,0.000660194,0.000660194,0.000660194
2,29.9705,1.26561,2.0477,2.01563,1.3185,0.56296,0.61475,0.59426,0.35157,0.56296,0.61475,0.58653,0.34603,1.38836,3.27469,3.13761,1.70067,0.00131372,0.00131372,0.00131372
3,41.2792,1.27913,2.00831,1.75019,1.33765,0.51248,0.56009,0.5624,0.30908,0.54747,0.57517,0.58264,0.32779,1.61456,2.22629,1.97934,1.79238,0.00195406,0.00195406,0.00195406
4,55.406,1.29017,1.96358,1.64407,1.34392,0.64756,0.66267,0.69045,0.42455,0.68039,0.67213,0.7091,0.41387,1.28209,2.33745,1.63842,1.44227,0.0019406,0.0019406,0.0019406
5,66.663,1.21914,1.90164,1.46428,1.28918,0.59848,0.61475,0.65957,0.42197,0.81384,0.5082,0.67742,0.43101,1.22991,2.35555,1.61419,1.4363,0.0019208,0.0019208,0.0019208
6,78.4648,1.23106,1.90441,1.42005,1.28294,0.67689,0.47541,0.59448,0.35424,0.65034,0.54098,0.60897,0.38522,1.38979,2.52539,1.67447,1.53438,0.001901,0.001901,0.001901
7,93.029,1.17201,1.75175,1.28159,1.25328,0.76354,0.64754,0.74379,0.46038,0.76394,0.62295,0.74383,0.46371,1.27591,1.92528,1.30615,1.39027,0.0018812,0.0018812,0.0018812
8,104.979,1.16637,1.77195,1.26887,1.25007,0.80364,0.59016,0.70005,0.46428,0.82212,0.59836,0.70987,0.47184,1.18863,2.1102,1.41626,1.36461,0.0018614,0.0018614,0.0018614
9,116.843,1.11358,1.72078,1.1454,1.21903,0.8261,0.69672,0.74316,0.49364,0.80603,0.68121,0.72026,0.46105,1.21006,2.29152,1.22181,1.38007,0.0018416,0.0018416,0.0018416
10,131.713,1.1382,1.67253,1.13223,1.22859,0.82846,0.70492,0.81221,0.56201,0.8506,0.68033,0.79792,0.55548,1.13027,1.85431,1.11965,1.2894,0.0018218,0.0018218,0.0018218
11,144.12,1.07949,1.60832,1.11034,1.18608,0.75193,0.69672,0.73841,0.48343,0.74309,0.68852,0.72794,0.48299,1.27621,2.01306,1.34998,1.42694,0.001802,0.001802,0.001802
12,159.486,1.09571,1.64204,1.09869,1.20716,0.81587,0.6901,0.79313,0.51752,0.73829,0.81148,0.80422,0.52816,1.24825,1.88378,1.13931,1.3989,0.0017822,0.0017822,0.0017822
13,171.981,1.06707,1.60296,1.06629,1.1844,0.82675,0.74318,0.82687,0.56492,0.83578,0.75092,0.8425,0.54101,1.09482,1.96424,1.15258,1.27377,0.0017624,0.0017624,0.0017624
14,184.378,1.08022,1.63135,1.04586,1.18031,0.86917,0.7459,0.83697,0.57874,0.86917,0.7459,0.83557,0.56867,1.10819,1.78117,1.02261,1.29287,0.0017426,0.0017426,0.0017426
15,199.976,1.01593,1.56359,0.94728,1.15232,0.92786,0.7377,0.83188,0.58788,0.93817,0.7459,0.83246,0.56311,1.07096,2.0364,1.05801,1.24987,0.0017228,0.0017228,0.0017228
16,212.722,1.02655,1.53062,0.95188,1.15463,0.897,0.78519,0.88837,0.6366,0.88775,0.77793,0.85951,0.56092,1.02191,2.12388,0.82509,1.19765,0.001703,0.001703,0.001703
17,228.291,1.02149,1.53043,0.95182,1.14873,0.84581,0.76438,0.8584,0.60615,0.82459,0.81148,0.86506,0.60251,1.05411,1.67264,0.9232,1.27373,0.0016832,0.0016832,0.0016832
18,240.806,1.00169,1.53549,0.95739,1.15573,0.90455,0.77683,0.86829,0.61405,0.90455,0.77683,0.86549,0.61128,1.08389,1.76795,0.91523,1.27779,0.0016634,0.0016634,0.0016634
19,253.327,1.02723,1.52844,0.94472,1.16256,0.80998,0.80363,0.87756,0.62031,0.80998,0.80363,0.87756,0.62812,1.0261,1.64008,0.83996,1.22076,0.0016436,0.0016436,0.0016436
20,268.761,0.9722,1.48078,0.91019,1.12544,0.95958,0.80328,0.87361,0.63945,0.95958,0.80328,0.86835,0.5987,0.9802,1.90406,0.81682,1.17869,0.0016238,0.0016238,0.0016238
21,281.182,0.98859,1.47968,0.87459,1.13437,0.8391,0.77869,0.85662,0.59189,0.8391,0.77869,0.85431,0.55475,1.15899,1.95066,0.91044,1.31666,0.001604,0.001604,0.001604
22,293.745,0.96263,1.48068,0.84648,1.12072,0.90428,0.90164,0.92094,0.67457,0.90428,0.90164,0.92062,0.66622,0.98987,1.53738,0.75003,1.17737,0.0015842,0.0015842,0.0015842
23,309.628,0.95717,1.43946,0.83146,1.1097,0.94949,0.77038,0.87343,0.62109,0.95959,0.77858,0.8841,0.60515,1.11723,1.78867,0.83152,1.26849,0.0015644,0.0015644,0.0015644
24,322.508,0.93371,1.44646,0.84025,1.1043,0.85134,0.79801,0.88623,0.61204,0.85134,0.79801,0.8849,0.62081,1.07809,1.55851,0.85891,1.23393,0.0015446,0.0015446,0.0015446
25,338.624,0.92826,1.42482,0.83285,1.09848,0.81737,0.81148,0.86894,0.57607,0.87457,0.80013,0.87696,0.57007,1.18347,2.25486,0.97772,1.30927,0.0015248,0.0015248,0.0015248
26,351.364,0.92486,1.38503,0.84036,1.10989,0.92912,0.81967,0.91689,0.6515,0.92912,0.81967,0.91547,0.63544,0.96606,1.62208,0.71591,1.17946,0.001505,0.001505,0.001505
